[0.000000] (-) TimerEvent: {}
[0.000367] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000406] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000422] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000435] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000446] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000456] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000507] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000521] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000531] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000541] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000552] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000562] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000572] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000582] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000592] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000601] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000611] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000621] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000632] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000647] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000657] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000668] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000677] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000686] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000695] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.000704] (-) JobUnselected: {'identifier': 'my_package'}
[0.000715] (-) JobUnselected: {'identifier': 'my_package2'}
[0.000725] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.000824] (-) EventReactorShutdown: {}
